,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main components of a human-computer interaction system?,0.7059
1,What is an interactive software system?,How does user experience influence the design of interactive systems?,0.6268
2,What is a complex interactive computer system?,What are the main components of a human-computer interaction system?,0.7127
3,What does make up the user interface of an interactive computer system?,What are the main components of a human-computer interaction system?,0.7477
4,What is a User?,"How do different user characteristics (e.g., age, expertise) impact HCI?",0.346
5,How can a user interact in human–computer interactions?,What are the main components of a human-computer interaction system?,0.6933
6,"Considering intentionality, how can a user interact with an interactive computer system?",How does user experience influence the design of interactive systems?,0.6175
7,Why does a user intentionally interact with an interactive computer system?,How does user experience influence the design of interactive systems?,0.6763
8,What does make up a complex user participation?,"How do different user characteristics (e.g., age, expertise) impact HCI?",0.4723
9,What is a human–computer interaction?,What are the main components of a human-computer interaction system?,0.7551
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What cognitive factors affect user interaction with computer systems?,0.5283
11,How is a user input processed by an interactive computer system?,What are the main components of a human-computer interaction system?,0.5931
12,How does a user receive an output from an interactive computer system?,What are the main components of a human-computer interaction system?,0.4937
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the main components of a human-computer interaction system?,0.575
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How can user satisfaction be measured in HCI?,0.5513
